,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,0,3,1,22.0,1,0,7.25,B96 B98,2
1,1,1,0,38.0,1,0,71.2833,C85,0
2,1,3,0,26.0,0,0,7.925,B96 B98,2
3,1,1,0,35.0,1,0,53.1,C123,2
4,0,3,1,35.0,0,0,8.05,B96 B98,2
5,0,3,1,29.69911764705882,0,0,8.4583,B96 B98,1
6,0,1,1,54.0,0,0,51.8625,E46,2
7,0,3,1,2.0,3,1,21.075,B96 B98,2
8,1,3,0,27.0,0,2,11.1333,B96 B98,2
9,1,2,0,14.0,1,0,30.0708,B96 B98,0
10,1,3,0,4.0,1,1,16.7,G6,2
11,1,1,0,58.0,0,0,26.55,C103,2
12,0,3,1,20.0,0,0,8.05,B96 B98,2
13,0,3,1,39.0,1,5,31.275,B96 B98,2
14,0,3,0,14.0,0,0,7.8542,B96 B98,2
15,1,2,0,55.0,0,0,16.0,B96 B98,2
16,0,3,1,2.0,4,1,29.125,B96 B98,1
17,1,2,1,29.69911764705882,0,0,13.0,B96 B98,2
18,0,3,0,31.0,1,0,18.0,B96 B98,2
19,1,3,0,29.69911764705882,0,0,7.225,B96 B98,0
20,0,2,1,35.0,0,0,26.0,B96 B98,2
21,1,2,1,34.0,0,0,13.0,D56,2
22,1,3,0,15.0,0,0,8.0292,B96 B98,1
23,1,1,1,28.0,0,0,35.5,A6,2
24,0,3,0,8.0,3,1,21.075,B96 B98,2
25,1,3,0,38.0,1,5,31.3875,B96 B98,2
26,0,3,1,29.69911764705882,0,0,7.225,B96 B98,0
27,0,1,1,19.0,3,2,263.0,C23 C25 C27,2
28,1,3,0,29.69911764705882,0,0,7.8792,B96 B98,1
29,0,3,1,29.69911764705882,0,0,7.8958,B96 B98,2
30,0,1,1,40.0,0,0,27.7208,B96 B98,0
31,1,1,0,29.69911764705882,1,0,146.5208,B78,0
32,1,3,0,29.69911764705882,0,0,7.75,B96 B98,1
33,0,2,1,66.0,0,0,10.5,B96 B98,2
34,0,1,1,28.0,1,0,82.1708,B96 B98,0
35,0,1,1,42.0,1,0,52.0,B96 B98,2
36,1,3,1,29.69911764705882,0,0,7.2292,B96 B98,0
37,0,3,1,21.0,0,0,8.05,B96 B98,2
38,0,3,0,18.0,2,0,18.0,B96 B98,2
39,1,3,0,14.0,1,0,11.2417,B96 B98,0
40,0,3,0,40.0,1,0,9.475,B96 B98,2
41,0,2,0,27.0,1,0,21.0,B96 B98,2
42,0,3,1,29.69911764705882,0,0,7.8958,B96 B98,0
43,1,2,0,3.0,1,2,41.5792,B96 B98,0
44,1,3,0,19.0,0,0,7.8792,B96 B98,1
45,0,3,1,29.69911764705882,0,0,8.05,B96 B98,2
46,0,3,1,29.69911764705882,1,0,15.5,B96 B98,1
47,1,3,0,29.69911764705882,0,0,7.75,B96 B98,1
48,0,3,1,29.69911764705882,2,0,21.6792,B96 B98,0
49,0,3,0,18.0,1,0,17.8,B96 B98,2
50,0,3,1,7.0,4,1,39.6875,B96 B98,2
51,0,3,1,21.0,0,0,7.8,B96 B98,2
52,1,1,0,49.0,1,0,76.7292,D33,0
53,1,2,0,29.0,1,0,26.0,B96 B98,2
54,0,1,1,65.0,0,1,61.9792,B30,0
55,1,1,1,29.69911764705882,0,0,35.5,C52,2
56,1,2,0,21.0,0,0,10.5,B96 B98,2
57,0,3,1,28.5,0,0,7.2292,B96 B98,0
58,1,2,0,5.0,1,2,27.75,B96 B98,2
59,0,3,1,11.0,5,2,46.9,B96 B98,2
60,0,3,1,22.0,0,0,7.2292,B96 B98,0
61,1,1,0,38.0,0,0,80.0,B28,2
62,0,1,1,45.0,1,0,83.475,C83,2
63,0,3,1,4.0,3,2,27.9,B96 B98,2
64,0,1,1,29.69911764705882,0,0,27.7208,B96 B98,0
65,1,3,1,29.69911764705882,1,1,15.2458,B96 B98,0
66,1,2,0,29.0,0,0,10.5,F33,2
67,0,3,1,19.0,0,0,8.1583,B96 B98,2
68,1,3,0,17.0,4,2,7.925,B96 B98,2
69,0,3,1,26.0,2,0,8.6625,B96 B98,2
70,0,2,1,32.0,0,0,10.5,B96 B98,2
71,0,3,0,16.0,5,2,46.9,B96 B98,2
72,0,2,1,21.0,0,0,73.5,B96 B98,2
73,0,3,1,26.0,1,0,14.4542,B96 B98,0
74,1,3,1,32.0,0,0,56.4958,B96 B98,2
75,0,3,1,25.0,0,0,7.65,F G73,2
76,0,3,1,29.69911764705882,0,0,7.8958,B96 B98,2
77,0,3,1,29.69911764705882,0,0,8.05,B96 B98,2
78,1,2,1,0.83,0,2,29.0,B96 B98,2
79,1,3,0,30.0,0,0,12.475,B96 B98,2
80,0,3,1,22.0,0,0,9.0,B96 B98,2
81,1,3,1,29.0,0,0,9.5,B96 B98,2
82,1,3,0,29.69911764705882,0,0,7.7875,B96 B98,1
83,0,1,1,28.0,0,0,47.1,B96 B98,2
84,1,2,0,17.0,0,0,10.5,B96 B98,2
85,1,3,0,33.0,3,0,15.85,B96 B98,2
86,0,3,1,16.0,1,3,34.375,B96 B98,2
87,0,3,1,29.69911764705882,0,0,8.05,B96 B98,2
88,1,1,0,23.0,3,2,263.0,C23 C25 C27,2
89,0,3,1,24.0,0,0,8.05,B96 B98,2
90,0,3,1,29.0,0,0,8.05,B96 B98,2
91,0,3,1,20.0,0,0,7.8542,B96 B98,2
92,0,1,1,46.0,1,0,61.175,E31,2
93,0,3,1,26.0,1,2,20.575,B96 B98,2
94,0,3,1,59.0,0,0,7.25,B96 B98,2
95,0,3,1,29.69911764705882,0,0,8.05,B96 B98,2
96,0,1,1,71.0,0,0,34.6542,A5,0
97,1,1,1,23.0,0,1,63.3583,D10 D12,0
98,1,2,0,34.0,0,1,23.0,B96 B98,2
99,0,2,1,34.0,1,0,26.0,B96 B98,2
100,0,3,0,28.0,0,0,7.8958,B96 B98,2
101,0,3,1,29.69911764705882,0,0,7.8958,B96 B98,2
102,0,1,1,21.0,0,1,77.2875,D26,2
103,0,3,1,33.0,0,0,8.6542,B96 B98,2
104,0,3,1,37.0,2,0,7.925,B96 B98,2
105,0,3,1,28.0,0,0,7.8958,B96 B98,2
106,1,3,0,21.0,0,0,7.65,B96 B98,2
107,1,3,1,29.69911764705882,0,0,7.775,B96 B98,2
108,0,3,1,38.0,0,0,7.8958,B96 B98,2
109,1,3,0,29.69911764705882,1,0,24.15,B96 B98,1
110,0,1,1,47.0,0,0,52.0,C110,2
111,0,3,0,14.5,1,0,14.4542,B96 B98,0
112,0,3,1,22.0,0,0,8.05,B96 B98,2
113,0,3,0,20.0,1,0,9.825,B96 B98,2
114,0,3,0,17.0,0,0,14.4583,B96 B98,0
115,0,3,1,21.0,0,0,7.925,B96 B98,2
116,0,3,1,70.5,0,0,7.75,B96 B98,1
117,0,2,1,29.0,1,0,21.0,B96 B98,2
118,0,1,1,24.0,0,1,247.5208,B58 B60,0
119,0,3,0,2.0,4,2,31.275,B96 B98,2
120,0,2,1,21.0,2,0,73.5,B96 B98,2
121,0,3,1,29.69911764705882,0,0,8.05,B96 B98,2
122,0,2,1,32.5,1,0,30.0708,B96 B98,0
123,1,2,0,32.5,0,0,13.0,E101,2
124,0,1,1,54.0,0,1,77.2875,D26,2
125,1,3,1,12.0,1,0,11.2417,B96 B98,0
126,0,3,1,29.69911764705882,0,0,7.75,B96 B98,1
127,1,3,1,24.0,0,0,7.1417,B96 B98,2
128,1,3,0,29.69911764705882,1,1,22.3583,F E69,0
129,0,3,1,45.0,0,0,6.975,B96 B98,2
130,0,3,1,33.0,0,0,7.8958,B96 B98,0
131,0,3,1,20.0,0,0,7.05,B96 B98,2
132,0,3,0,47.0,1,0,14.5,B96 B98,2
133,1,2,0,29.0,1,0,26.0,B96 B98,2
134,0,2,1,25.0,0,0,13.0,B96 B98,2
135,0,2,1,23.0,0,0,15.0458,B96 B98,0
136,1,1,0,19.0,0,2,26.2833,D47,2
137,0,1,1,37.0,1,0,53.1,C123,2
138,0,3,1,16.0,0,0,9.2167,B96 B98,2
139,0,1,1,24.0,0,0,79.2,B86,0
140,0,3,0,29.69911764705882,0,2,15.2458,B96 B98,0
141,1,3,0,22.0,0,0,7.75,B96 B98,2
142,1,3,0,24.0,1,0,15.85,B96 B98,2
143,0,3,1,19.0,0,0,6.75,B96 B98,1
144,0,2,1,18.0,0,0,11.5,B96 B98,2
145,0,2,1,19.0,1,1,36.75,B96 B98,2
146,1,3,1,27.0,0,0,7.7958,B96 B98,2
147,0,3,0,9.0,2,2,34.375,B96 B98,2
148,0,2,1,36.5,0,2,26.0,F2,2
149,0,2,1,42.0,0,0,13.0,B96 B98,2
150,0,2,1,51.0,0,0,12.525,B96 B98,2
151,1,1,0,22.0,1,0,66.6,C2,2
152,0,3,1,55.5,0,0,8.05,B96 B98,2
153,0,3,1,40.5,0,2,14.5,B96 B98,2
154,0,3,1,29.69911764705882,0,0,7.3125,B96 B98,2
155,0,1,1,51.0,0,1,61.3792,B96 B98,0
156,1,3,0,16.0,0,0,7.7333,B96 B98,1
157,0,3,1,30.0,0,0,8.05,B96 B98,2
158,0,3,1,29.69911764705882,0,0,8.6625,B96 B98,2
159,0,3,1,29.69911764705882,8,2,69.55,B96 B98,2
160,0,3,1,44.0,0,1,16.1,B96 B98,2
161,1,2,0,40.0,0,0,15.75,B96 B98,2
162,0,3,1,26.0,0,0,7.775,B96 B98,2
163,0,3,1,17.0,0,0,8.6625,B96 B98,2
164,0,3,1,1.0,4,1,39.6875,B96 B98,2
165,1,3,1,9.0,0,2,20.525,B96 B98,2
166,1,1,0,29.69911764705882,0,1,55.0,E33,2
167,0,3,0,45.0,1,4,27.9,B96 B98,2
168,0,1,1,29.69911764705882,0,0,25.925,B96 B98,2
169,0,3,1,28.0,0,0,56.4958,B96 B98,2
170,0,1,1,61.0,0,0,33.5,B19,2
171,0,3,1,4.0,4,1,29.125,B96 B98,1
172,1,3,0,1.0,1,1,11.1333,B96 B98,2
173,0,3,1,21.0,0,0,7.925,B96 B98,2
174,0,1,1,56.0,0,0,30.6958,A7,0
175,0,3,1,18.0,1,1,7.8542,B96 B98,2
176,0,3,1,29.69911764705882,3,1,25.4667,B96 B98,2
177,0,1,0,50.0,0,0,28.7125,C49,0
178,0,2,1,30.0,0,0,13.0,B96 B98,2
179,0,3,1,36.0,0,0,0.0,B96 B98,2
180,0,3,0,29.69911764705882,8,2,69.55,B96 B98,2
181,0,2,1,29.69911764705882,0,0,15.05,B96 B98,0
182,0,3,1,9.0,4,2,31.3875,B96 B98,2
183,1,2,1,1.0,2,1,39.0,F4,2
184,1,3,0,4.0,0,2,22.025,B96 B98,2
185,0,1,1,29.69911764705882,0,0,50.0,A32,2
186,1,3,0,29.69911764705882,1,0,15.5,B96 B98,1
187,1,1,1,45.0,0,0,26.55,B96 B98,2
188,0,3,1,40.0,1,1,15.5,B96 B98,1
189,0,3,1,36.0,0,0,7.8958,B96 B98,2
190,1,2,0,32.0,0,0,13.0,B96 B98,2
191,0,2,1,19.0,0,0,13.0,B96 B98,2
192,1,3,0,19.0,1,0,7.8542,B96 B98,2
193,1,2,1,3.0,1,1,26.0,F2,2
194,1,1,0,44.0,0,0,27.7208,B4,0
195,1,1,0,58.0,0,0,146.5208,B80,0
196,0,3,1,29.69911764705882,0,0,7.75,B96 B98,1
197,0,3,1,42.0,0,1,8.4042,B96 B98,2
198,1,3,0,29.69911764705882,0,0,7.75,B96 B98,1
199,0,2,0,24.0,0,0,13.0,B96 B98,2
200,0,3,1,28.0,0,0,9.5,B96 B98,2
201,0,3,1,29.69911764705882,8,2,69.55,B96 B98,2
202,0,3,1,34.0,0,0,6.4958,B96 B98,2
203,0,3,1,45.5,0,0,7.225,B96 B98,0
204,1,3,1,18.0,0,0,8.05,B96 B98,2
205,0,3,0,2.0,0,1,10.4625,G6,2
206,0,3,1,32.0,1,0,15.85,B96 B98,2
207,1,3,1,26.0,0,0,18.7875,B96 B98,0
208,1,3,0,16.0,0,0,7.75,B96 B98,1
209,1,1,1,40.0,0,0,31.0,A31,0
210,0,3,1,24.0,0,0,7.05,B96 B98,2
211,1,2,0,35.0,0,0,21.0,B96 B98,2
212,0,3,1,22.0,0,0,7.25,B96 B98,2
213,0,2,1,30.0,0,0,13.0,B96 B98,2
214,0,3,1,29.69911764705882,1,0,7.75,B96 B98,1
215,1,1,0,31.0,1,0,113.275,D36,0
216,1,3,0,27.0,0,0,7.925,B96 B98,2
217,0,2,1,42.0,1,0,27.0,B96 B98,2
218,1,1,0,32.0,0,0,76.2917,D15,0
